The hospitality industry is a business that provides...;Food and lodging along with related services;Nutrition;Accommodation with related services;Housing;1
The three categories of lodging businesses that are based on level of service are ____.;Full-service hotels, limited-service properties, and specialty accommodations;Business hotels, motels, and bed-and-breakfasts;Convention hotels, luxury hotels, and resort hotels;Limited-service hotels, limited-service properties, and extended-stay hotels;1
"The concept of ""hospitality""…";Generosity and friendliness towards guests.;Welcoming the customers and serve them;Welcoming the customers and serve them;Includes: Generosity and friendliness towards guests, Welcoming the customers and serve them, Welcoming the customers and serve them;4
"The word ""tourism"" comes from the French word ""tourisme"" -";Travel;Vacation;Explorer;Journey;1
Hospitality industry-;This is a concept that includes customer service.;This is a concept that includes tourist services.;This is a concept that includes services for servicing tourists.;This is a concept that includes services for serving people.;1
Who is not a tourist?;A job seeker in another country;Visitor from some other location for temporary visit;Visiting friends or relatives;For sightseeing;1
They are the non-residents of a country visiting a country other than their own;International Travelers;Inbound Travelers;Outbound Travelers;Domestic travelers;1
Which is not the purpose of tourism?;Employment;Education;Business;Sight-seeing;1
What is not right about sustainable tourism?;Short-term economic benefits;Tourism should be one part of balanced economy;Sensitive to the needs of the host population.;The sharing of revenues with locals.;1
Identify the correct option.;All tourists are visitors;All travelers are tourist;All guests are explorers;All tourists excursionists;1
Tourists visiting a destination at its initial stage of development are called:;Explorers;Laggards;Early followers;Drifters;1
Where is the first documented evidence of the existence of the hospitality industry?;Ancient Greece and Ancient Rome;Ancient Japan;Ancient Madrid;Ancient France;1
The structure of the hotel enterprise includes the following services:;Service affairs, food complex, HR department, accounting;Front desk office, HR;Food and bavarage,recepsionist;HR, marketing, Front desk;1
The following are subcategories of full-service hotels: ____.;Condominium, convention, extended-stay, luxury, and resort;Business, conventions, resort, long-stay, and special;Specialty accommodations, long-stay hotels, extended-stay hotels, convention, and resort;Luxury, condominiums, and convention centers;1
The food complex of the hotel may consist of:;"Kitchen; restaurant, bars, cafes and washing dishes, mass events, service department";Sections for cleaning the interior;Full-service hotels pride themselves on their high level of service;Restaurant,bars and pubs;1
Limited-service properties are divided into the following categories: ____;Budget hotels and limited-service hotels;Referral groups and affiliation groups;Extended-stay and condominiums;Specialty accommodations and condominiums;1
The number fund management service includes:;Room reservation, room division.;"Cleaning, classification of rooms ;";Maid service, customer service.;Messenger service, porter service;1
Tasks of the reception service in the hotel:;Control of the process of receiving and accommodating guests, conflict resolution.;Sell all the empty rooms in the hotel for the highest possible price, convincing the client;For bookings and monitors.;Provides internal communication;1
Tasks of the reservation service in the hotel:;Sell ­all the empty rooms in the hotel for the highest possible price, convincing the client;For bookings and monitors the increase in demand;Provides internal rooms and room devision;Provide guest with safety;4
 The first tourism policy was announced by the Government of India in the year__________;1986.;1982;1980;1985;1
Tasks of the communications service in the hotel:;Provides internal communication for official use, communication with the client;Sell all the empty rooms in the hotel for the highest possible price;Control of the process of receiving and accommodating guests, conflict resolution.;For bookings and monitors the increase in demand.;1
The task of the doorman in the hotel:;Greeting guests, helping out of the car or calling a taxi;Carries out control over the hotel's room stock, keeping a file on the occupancy of rooms;For cleaning rooms, halls, corridors and other interior areas where customers are received and served;Is responsible for ensuring the reasonable security of its customers;1
Large lodging property that provides many services:;Full-service hotel;Limited services;Referral system;Lodging concept;1
The task of housekeeping service in the hotel:;For cleaning rooms, halls, corridors and other interior areas where customers are received and served;Is responsible for ensuring the reasonable security of its customers;Greeting guests, helping out of the car or calling a taxi;Carries out control over the hotel's room stock, keeping a file on the occupancy of rooms and availability, and performs the functions of an information center;1
The task of the security service in the hotel:;Is responsible for ensuring the reasonable security of its customers.;Greeting guests, helping out of the car or calling a taxi;Carries out control over the hotel's room stock, keeping a file on the occupancy of rooms;For cleaning rooms, halls, corridors and other interior areas where customers are received and served.;1
Lodging property designed to provide for the special needs of conventions and trade shows.;Convention hotel;Guest mix;Resort hotel;Luxury hotel;1
The task of the financial service of the hotel:;The financial support of the enterprise, receives reports from the cashiers of each outlet of the enterprise, including the food service, porter service, souvenir kiosks and sports complexes, if any;Solves the issues of selection, placement and advanced training of personnel.;With issues of documentation and information support for the activities of the hotel complex.;Consists in checking and summarizing the accounts payable of the guests.;1
Hotel accommodation that consists of more than one room:;Suite.;Guest mix;Resort;Specialty;1
In which of the following areas of a hotel are guests registered, assigned rooms and checked out?;Front Office;Room service;Reservations;Concierge;1
